x=2.000000             y=1.543081
###################
1. 0.500000     1.500000
2. 0.041667     1.541667
3. 0.001389     1.543056
4. 0.000025     1.543080
5. 0.000000     1.543081
6. 0.000000     1.543081
7. 0.000000     1.543081
8. 0.000000     1.543081
9. 0.000000     1.543081
10. 0.000000     1.543081
11. 0.000000     1.543081
12. 0.000000     1.543081
13. 0.000000     1.543081
14. 0.000000     1.543081
15. 0.000000     1.543081
16. 0.000000     1.543081
17. 0.000000     1.543081
18. 0.000000     1.543081
19. 0.000000     1.543081
20. 0.000000     1.543081
21. 0.000000     1.543081
22. 0.000000     1.543081
23. 0.000000     1.543081
24. 0.000000     1.543081
25. 0.000000     1.543081
26. 0.000000     1.543081
27. 0.000000     1.543081
28. 0.000000     1.543081
29. 0.000000     1.543081
30. 0.000000     1.543081
31. 0.000000     1.543081
32. 0.000000     1.543081
33. 0.000000     1.543081
34. 0.000000     1.543081
35. 0.000000     1.543081
36. 0.000000     1.543081
37. 0.000000     1.543081
38. 0.000000     1.543081
39. 0.000000     1.543081
40. 0.000000     1.543081
41. 0.000000     1.543081
42. 0.000000     1.543081
43. 0.000000     1.543081
44. 0.000000     1.543081
45. 0.000000     1.543081
46. 0.000000     1.543081
47. 0.000000     1.543081
48. 0.000000     1.543081
49. 0.000000     1.543081
50. 0.000000     1.543081
51. 0.000000     1.543081
52. 0.000000     1.543081
53. 0.000000     1.543081
54. 0.000000     1.543081
55. 0.000000     1.543081
56. 0.000000     1.543081
57. 0.000000     1.543081
58. 0.000000     1.543081
59. 0.000000     1.543081
60. 0.000000     1.543081
61. 0.000000     1.543081
62. 0.000000     1.543081
63. 0.000000     1.543081
64. 0.000000     1.543081
65. 0.000000     1.543081
66. 0.000000     1.543081
67. 0.000000     1.543081
68. 0.000000     1.543081
69. 0.000000     1.543081
70. 0.000000     1.543081
71. 0.000000     1.543081
72. 0.000000     1.543081
73. 0.000000     1.543081
74. 0.000000     1.543081
75. 0.000000     1.543081
76. 0.000000     1.543081
77. 0.000000     1.543081
78. 0.000000     1.543081
79. 0.000000     1.543081
80. 0.000000     1.543081
81. 0.000000     1.543081
82. 0.000000     1.543081
83. 0.000000     1.543081
84. 0.000000     1.543081
85. 0.000000     1.543081
86. 0.000000     1.543081
87. 0.000000     1.543081
88. 0.000000     1.543081
89. 0.000000     1.543081
90. 0.000000     1.543081
91. 0.000000     1.543081
92. 0.000000     1.543081
93. 0.000000     1.543081
94. 0.000000     1.543081
95. 0.000000     1.543081
96. 0.000000     1.543081
97. 0.000000     1.543081
98. 0.000000     1.543081
99. 0.000000     1.543081
100. 0.000000     1.543081
101. 0.000000     1.543081
102. 0.000000     1.543081
103. 0.000000     1.543081
104. 0.000000     1.543081
105. 0.000000     1.543081
106. 0.000000     1.543081
107. 0.000000     1.543081
108. 0.000000     1.543081
109. 0.000000     1.543081
110. 0.000000     1.543081
111. 0.000000     1.543081
112. 0.000000     1.543081
113. 0.000000     1.543081
114. 0.000000     1.543081
115. 0.000000     1.543081
116. 0.000000     1.543081
117. 0.000000     1.543081
118. 0.000000     1.543081
119. 0.000000     1.543081
120. 0.000000     1.543081
121. 0.000000     1.543081
122. 0.000000     1.543081
123. 0.000000     1.543081
124. 0.000000     1.543081
125. 0.000000     1.543081
126. 0.000000     1.543081
127. 0.000000     1.543081
128. 0.000000     1.543081
129. 0.000000     1.543081
130. 0.000000     1.543081
131. 0.000000     1.543081
132. 0.000000     1.543081
133. 0.000000     1.543081
134. 0.000000     1.543081
135. 0.000000     1.543081
136. 0.000000     1.543081
137. 0.000000     1.543081
138. 0.000000     1.543081
139. 0.000000     1.543081
140. 0.000000     1.543081
141. 0.000000     1.543081
142. 0.000000     1.543081
143. 0.000000     1.543081
144. 0.000000     1.543081
145. 0.000000     1.543081
146. 0.000000     1.543081
147. 0.000000     1.543081
148. 0.000000     1.543081
149. 0.000000     1.543081
150. 0.000000     1.543081
151. 0.000000     1.543081
152. 0.000000     1.543081
153. 0.000000     1.543081
154. 0.000000     1.543081
155. 0.000000     1.543081
156. 0.000000     1.543081
157. 0.000000     1.543081
158. 0.000000     1.543081
159. 0.000000     1.543081
160. 0.000000     1.543081
161. 0.000000     1.543081
162. 0.000000     1.543081
163. 0.000000     1.543081
164. 0.000000     1.543081
165. 0.000000     1.543081
166. 0.000000     1.543081
167. 0.000000     1.543081
168. 0.000000     1.543081
169. 0.000000     1.543081
170. 0.000000     1.543081
171. 0.000000     1.543081
172. 0.000000     1.543081
173. 0.000000     1.543081
174. 0.000000     1.543081
175. 0.000000     1.543081
176. 0.000000     1.543081
177. 0.000000     1.543081
178. 0.000000     1.543081
179. 0.000000     1.543081
180. 0.000000     1.543081
181. 0.000000     1.543081
182. 0.000000     1.543081
183. 0.000000     1.543081
184. 0.000000     1.543081
185. 0.000000     1.543081
186. 0.000000     1.543081
187. 0.000000     1.543081
188. 0.000000     1.543081
189. 0.000000     1.543081
190. 0.000000     1.543081
191. 0.000000     1.543081
192. 0.000000     1.543081
193. 0.000000     1.543081
194. 0.000000     1.543081
195. 0.000000     1.543081
196. 0.000000     1.543081
197. 0.000000     1.543081
198. 0.000000     1.543081
199. 0.000000     1.543081
200. 0.000000     1.543081
201. 0.000000     1.543081
202. 0.000000     1.543081
203. 0.000000     1.543081
204. 0.000000     1.543081
205. 0.000000     1.543081
206. 0.000000     1.543081
207. 0.000000     1.543081
208. 0.000000     1.543081
209. 0.000000     1.543081
210. 0.000000     1.543081
211. 0.000000     1.543081
212. 0.000000     1.543081
213. 0.000000     1.543081
214. 0.000000     1.543081
215. 0.000000     1.543081
216. 0.000000     1.543081
217. 0.000000     1.543081
218. 0.000000     1.543081
219. 0.000000     1.543081
220. 0.000000     1.543081
221. 0.000000     1.543081
222. 0.000000     1.543081
223. 0.000000     1.543081
224. 0.000000     1.543081
225. 0.000000     1.543081
226. 0.000000     1.543081
227. 0.000000     1.543081
228. 0.000000     1.543081
229. 0.000000     1.543081
230. 0.000000     1.543081
231. 0.000000     1.543081
232. 0.000000     1.543081
233. 0.000000     1.543081
234. 0.000000     1.543081
235. 0.000000     1.543081
236. 0.000000     1.543081
237. 0.000000     1.543081
238. 0.000000     1.543081
239. 0.000000     1.543081
240. 0.000000     1.543081
241. 0.000000     1.543081
242. 0.000000     1.543081
243. 0.000000     1.543081
244. 0.000000     1.543081
245. 0.000000     1.543081
246. 0.000000     1.543081
247. 0.000000     1.543081
248. 0.000000     1.543081
249. 0.000000     1.543081
250. 0.000000     1.543081
251. 0.000000     1.543081
252. 0.000000     1.543081
253. 0.000000     1.543081
254. 0.000000     1.543081
255. 0.000000     1.543081
256. 0.000000     1.543081
257. 0.000000     1.543081
258. 0.000000     1.543081
259. 0.000000     1.543081
260. 0.000000     1.543081
261. 0.000000     1.543081
262. 0.000000     1.543081
263. 0.000000     1.543081
264. 0.000000     1.543081
265. 0.000000     1.543081
266. 0.000000     1.543081
267. 0.000000     1.543081
268. 0.000000     1.543081
269. 0.000000     1.543081
270. 0.000000     1.543081
271. 0.000000     1.543081
272. 0.000000     1.543081
273. 0.000000     1.543081
274. 0.000000     1.543081
275. 0.000000     1.543081
276. 0.000000     1.543081
277. 0.000000     1.543081
278. 0.000000     1.543081
279. 0.000000     1.543081
280. 0.000000     1.543081
281. 0.000000     1.543081
282. 0.000000     1.543081
283. 0.000000     1.543081
284. 0.000000     1.543081
285. 0.000000     1.543081
286. 0.000000     1.543081
287. 0.000000     1.543081
288. 0.000000     1.543081
289. 0.000000     1.543081
290. 0.000000     1.543081
291. 0.000000     1.543081
292. 0.000000     1.543081
293. 0.000000     1.543081
294. 0.000000     1.543081
295. 0.000000     1.543081
296. 0.000000     1.543081
297. 0.000000     1.543081
298. 0.000000     1.543081
299. 0.000000     1.543081
300. 0.000000     1.543081
301. 0.000000     1.543081
302. 0.000000     1.543081
303. 0.000000     1.543081
304. 0.000000     1.543081
305. 0.000000     1.543081
306. 0.000000     1.543081
307. 0.000000     1.543081
308. 0.000000     1.543081
309. 0.000000     1.543081
310. 0.000000     1.543081
311. 0.000000     1.543081
312. 0.000000     1.543081
313. 0.000000     1.543081
314. 0.000000     1.543081
315. 0.000000     1.543081
316. 0.000000     1.543081
317. 0.000000     1.543081
318. 0.000000     1.543081
319. 0.000000     1.543081
320. 0.000000     1.543081
321. 0.000000     1.543081
322. 0.000000     1.543081
323. 0.000000     1.543081
324. 0.000000     1.543081
325. 0.000000     1.543081
326. 0.000000     1.543081
327. 0.000000     1.543081
328. 0.000000     1.543081
329. 0.000000     1.543081
330. 0.000000     1.543081
331. 0.000000     1.543081
332. 0.000000     1.543081
333. 0.000000     1.543081
334. 0.000000     1.543081
335. 0.000000     1.543081
336. 0.000000     1.543081
337. 0.000000     1.543081
338. 0.000000     1.543081
339. 0.000000     1.543081
340. 0.000000     1.543081
341. 0.000000     1.543081
342. 0.000000     1.543081
343. 0.000000     1.543081
344. 0.000000     1.543081
345. 0.000000     1.543081
346. 0.000000     1.543081
347. 0.000000     1.543081
348. 0.000000     1.543081
349. 0.000000     1.543081
350. 0.000000     1.543081
351. 0.000000     1.543081
352. 0.000000     1.543081
353. 0.000000     1.543081
354. 0.000000     1.543081
355. 0.000000     1.543081
356. 0.000000     1.543081
357. 0.000000     1.543081
358. 0.000000     1.543081
359. 0.000000     1.543081
360. 0.000000     1.543081
361. 0.000000     1.543081
362. 0.000000     1.543081
363. 0.000000     1.543081
364. 0.000000     1.543081
365. 0.000000     1.543081
366. 0.000000     1.543081
367. 0.000000     1.543081
368. 0.000000     1.543081
369. 0.000000     1.543081
370. 0.000000     1.543081
371. 0.000000     1.543081
372. 0.000000     1.543081
373. 0.000000     1.543081
374. 0.000000     1.543081
375. 0.000000     1.543081
376. 0.000000     1.543081
377. 0.000000     1.543081
378. 0.000000     1.543081
379. 0.000000     1.543081
380. 0.000000     1.543081
381. 0.000000     1.543081
382. 0.000000     1.543081
383. 0.000000     1.543081
384. 0.000000     1.543081
385. 0.000000     1.543081
386. 0.000000     1.543081
387. 0.000000     1.543081
388. 0.000000     1.543081
389. 0.000000     1.543081
390. 0.000000     1.543081
391. 0.000000     1.543081
392. 0.000000     1.543081
393. 0.000000     1.543081
394. 0.000000     1.543081
395. 0.000000     1.543081
396. 0.000000     1.543081
397. 0.000000     1.543081
398. 0.000000     1.543081
399. 0.000000     1.543081
400. 0.000000     1.543081
401. 0.000000     1.543081
402. 0.000000     1.543081
403. 0.000000     1.543081
404. 0.000000     1.543081
405. 0.000000     1.543081
406. 0.000000     1.543081
407. 0.000000     1.543081
408. 0.000000     1.543081
409. 0.000000     1.543081
410. 0.000000     1.543081
411. 0.000000     1.543081
412. 0.000000     1.543081
413. 0.000000     1.543081
414. 0.000000     1.543081
415. 0.000000     1.543081
416. 0.000000     1.543081
417. 0.000000     1.543081
418. 0.000000     1.543081
419. 0.000000     1.543081
420. 0.000000     1.543081
421. 0.000000     1.543081
422. 0.000000     1.543081
423. 0.000000     1.543081
424. 0.000000     1.543081
425. 0.000000     1.543081
426. 0.000000     1.543081
427. 0.000000     1.543081
428. 0.000000     1.543081
429. 0.000000     1.543081
430. 0.000000     1.543081
431. 0.000000     1.543081
432. 0.000000     1.543081
433. 0.000000     1.543081
434. 0.000000     1.543081
435. 0.000000     1.543081
436. 0.000000     1.543081
437. 0.000000     1.543081
438. 0.000000     1.543081
439. 0.000000     1.543081
440. 0.000000     1.543081
441. 0.000000     1.543081
442. 0.000000     1.543081
443. 0.000000     1.543081
444. 0.000000     1.543081
445. 0.000000     1.543081
446. 0.000000     1.543081
447. 0.000000     1.543081
448. 0.000000     1.543081
449. 0.000000     1.543081
450. 0.000000     1.543081
451. 0.000000     1.543081
452. 0.000000     1.543081
453. 0.000000     1.543081
454. 0.000000     1.543081
455. 0.000000     1.543081
456. 0.000000     1.543081
457. 0.000000     1.543081
458. 0.000000     1.543081
459. 0.000000     1.543081
460. 0.000000     1.543081
461. 0.000000     1.543081
462. 0.000000     1.543081
463. 0.000000     1.543081
464. 0.000000     1.543081
465. 0.000000     1.543081
466. 0.000000     1.543081
467. 0.000000     1.543081
468. 0.000000     1.543081
469. 0.000000     1.543081
470. 0.000000     1.543081
471. 0.000000     1.543081
472. 0.000000     1.543081
473. 0.000000     1.543081
474. 0.000000     1.543081
475. 0.000000     1.543081
476. 0.000000     1.543081
477. 0.000000     1.543081
478. 0.000000     1.543081
479. 0.000000     1.543081
480. 0.000000     1.543081
481. 0.000000     1.543081
482. 0.000000     1.543081
483. 0.000000     1.543081
484. 0.000000     1.543081
485. 0.000000     1.543081
486. 0.000000     1.543081
487. 0.000000     1.543081
488. 0.000000     1.543081
489. 0.000000     1.543081
490. 0.000000     1.543081
491. 0.000000     1.543081
492. 0.000000     1.543081
493. 0.000000     1.543081
494. 0.000000     1.543081
495. 0.000000     1.543081
496. 0.000000     1.543081
497. 0.000000     1.543081
498. 0.000000     1.543081
499. 0.000000     1.543081
500. 0.000000     1.543081
